ensembl_gene_id,entrezgene_id,hgnc_symbol,gene_biotype,rate,half_life,rate.min,rate.max
ENSG00000000003,7105,TSPAN6,protein_coding,0.14262597028446,4.85989458425768,0.107477160488149,0.19152249286433
ENSG00000000005,64102,TNMD,protein_coding,0.0700308126447543,9.89774578336077,0.0498385494769052,0.138698900349112
ENSG00000000419,8813,DPM1,protein_coding,0.266290449072524,2.60297424475471,0.197128455838206,0.368740329050442
ENSG00000000457,57147,SCYL3,protein_coding,0.665908798132829,1.040904073506,0.462077724317364,1.05701508973837
ENSG00000000460,55732,C1orf112,protein_coding,0.319099029018181,2.17220084527569,0.230795348080736,0.45901426079121
ENSG00000001036,2519,FUCA2,protein_coding,0.110861310357037,6.25238127104588,0.0838610401342523,0.1476306680684
ENSG00000001084,2729,GCLC,protein_coding,0.475285264189209,1.45838138226816,0.341683414460934,0.694856758419315
ENSG00000001167,4800,NFYA,protein_coding,0.335955637720976,2.06321044427785,0.238776637800621,0.498843471677299
ENSG00000001460,90529,STPG1,protein_coding,0.386725974459371,1.79234710450711,0.278050829325153,0.563106348949969
ENSG00000001461,57185,NIPAL3,protein_coding,0.179506298094214,3.86140869662492,0.134395183522889,0.244226933616126
ENSG00000001497,81887,LAS1L,protein_coding,0.133131893985516,5.20646976325115,0.100979720924364,0.1774940276455
ENSG00000001561,22875,ENPP4,protein_coding,0.464490883891898,1.49227294786105,0.327426242723532,0.694440101355976
ENSG00000001629,54467,ANKIB1,protein_coding,0.393827129157622,1.76002903111971,0.283997948813186,0.57086039279045
ENSG00000001630,1595,CYP51A1,protein_coding,0.281550582745249,2.46189218932328,0.207610309660303,0.393262408359473
ENSG00000001631,889,KRIT1,protein_coding,0.23481103267509,2.9519361703888,0.170615750572472,0.329166605103297
ENSG00000002016,5893,RAD52,protein_coding,0.38784501319315,1.78717569385055,0.277389469200137,0.569957524551638
ENSG00000002330,572,BAD,protein_coding,0.0489088458516408,14.1722252588525,0.0374695313977673,0.0640389796189635
ENSG00000002549,51056,LAP3,protein_coding,0.0885343151093681,7.82913585205564,0.061710224219574,0.125517057175377
ENSG00000002586,4267,CD99,protein_coding,0.0527854386598696,13.1314089293893,0.0401492260016892,0.06959350544039
ENSG00000002834,3927,LASP1,protein_coding,0.538092852614994,1.28815533823099,0.379669811214006,0.818141623268274
ENSG00000002919,29916,SNX11,protein_coding,0.436356546236104,1.58848809886972,0.314078295492577,0.638208084144809
ENSG00000002933,55365,TMEM176A,protein_coding,0.105020353309568,6.60012234501589,0.0786208377092381,0.141423703078103
ENSG00000003056,4074,M6PR,protein_coding,0.176336377980515,3.93082351184811,0.132546944091012,0.23878432468675
ENSG00000003096,90293,KLHL13,protein_coding,0.236403597860613,2.93205004844569,0.175878029198281,0.326318212823384
ENSG00000003137,56603,CYP26B1,protein_coding,0.32892489510205,2.10731139807734,0.238466896491234,0.47310091132761
ENSG00000003147,3382,ICA1,protein_coding,0.0961921311004555,7.20586156715955,0.0729709824410315,0.127702145534867
ENSG00000003249,79007,DBNDD1,protein_coding,0.107089141676072,6.47261869608229,0.0814933360712542,0.141932619634018
ENSG00000003393,57679,ALS2,protein_coding,0.270251030274618,2.5648271529459,0.19740332802364,0.381032907933658
ENSG00000003402,8837,CFLAR,protein_coding,0.132093456546018,5.24739982346113,0.0993856759316533,0.177896005319842
ENSG00000003436,7035,TFPI,protein_coding,0.195103600081126,3.55271343159084,0.138901545367063,0.278839696737477
ENSG00000003509,55471,NDUFAF7,protein_coding,0.213787516762777,3.24222476155647,0.158804940351204,0.294779816568066
ENSG00000003756,10181,RBM5,protein_coding,0.344843041730809,2.0100367317286,0.241629380507002,0.509430916086909
ENSG00000003987,9108,MTMR7,protein_coding,0.271142071998604,2.55639847940497,0.190401322152902,0.399194324936088
ENSG00000003989,6542,SLC7A2,protein_coding,0.299402171834829,2.31510404988757,0.216023139059391,0.429054093837271
ENSG00000004059,381,ARF5,protein_coding,0.0610291602672027,11.3576391601188,0.0462387420542568,0.0807749829009736
ENSG00000004139,23098,SARM1,protein_coding,0.211102815865408,3.2834577678105,0.155576042119533,0.293626241736946
ENSG00000004142,26073,POLDIP2,protein_coding,0.104399452043415,6.6393756575628,0.0795125900745036,0.138060320940523
ENSG00000004399,23129,PLXND1,protein_coding,0.0789233122722785,8.78254042568117,0.0575486804933204,0.108255425114668
ENSG00000004455,204,AK2,protein_coding,0.165055627871191,4.19947619781178,0.117537434368018,0.234867773188807
ENSG00000004478,2288,FKBP4,protein_coding,0.151757945278658,4.56745232868822,0.113602527433114,0.206700882155555
ENSG00000004487,23028,KDM1A,protein_coding,0.198036283552878,3.50010194154582,0.148240473324024,0.269714013371685
ENSG00000004534,10180,RBM6,protein_coding,0.154381570615571,4.48983112295163,0.115630711326597,0.209784625691268
ENSG00000004660,84254,CAMKK1,protein_coding,0.291344653860455,2.37913128446126,0.211986771267076,0.414261126440624
ENSG00000004700,5965,RECQL,protein_coding,0.354984155870234,1.95261441700324,0.259969676352669,0.501324493484094
ENSG00000004766,55610,VPS50,protein_coding,0.162329252299801,4.27000784356348,0.122023625801669,0.218857367306684
ENSG00000004776,126393,HSPB6,protein_coding,0.0421190589363314,16.4568534545781,0.0321210661290813,0.0553174908680077
ENSG00000004777,115703,ARHGAP33,protein_coding,0.115060375975326,6.02420402927059,0.0867636009581296,0.154124235186111
ENSG00000004779,4706,NDUFAB1,protein_coding,0.0713929541693677,9.70890179044238,0.0543156164959487,0.09418240432641
ENSG00000004864,10165,SLC25A13,protein_coding,0.121752896232588,5.69306523300939,0.0918054415415024,0.162704939476064
ENSG00000004866,7982,ST7,protein_coding,0.352273351869925,1.96764012060693,0.254046190796964,0.512022268917201
ENSG00000004897,996,CDC27,protein_coding,0.405260080027437,1.71037616266822,0.290506616523558,0.5855349354168
ENSG00000004961,3052,HCCS,protein_coding,0.30782167848856,2.25178156380466,0.226846432559837,0.431486555922125
ENSG00000004975,1856,DVL2,protein_coding,0.175998208180385,3.93837634897693,0.131657617986025,0.239115139446779
ENSG00000005007,5976,UPF1,protein_coding,0.227149575723531,3.05150110165114,0.16825607414829,0.314789155831838
ENSG00000005020,8935,SKAP2,protein_coding,0.0893155022520564,7.76065927059136,0.0641936949025258,0.126813322056607
ENSG00000005022,292,SLC25A5,protein_coding,0.0988084171348915,7.01506208336151,0.0525164577175647,0.16719500477939
ENSG00000005075,5439,POLR2J,protein_coding,0.0679598022255198,10.1993701844479,0.0518453280599198,0.089446534573895
ENSG00000005100,56919,DHX33,protein_coding,0.39469694358854,1.7561503624982,0.287374318425799,0.565861966383695
ENSG00000005108,221981,THSD7A,protein_coding,0.172974045509311,4.00723229036482,0.129446126306292,0.234584390631667
ENSG00000005156,3980,LIG3,protein_coding,0.248899175254451,2.78485125493621,0.185029285330136,0.343248284863981
ENSG00000005175,79657,RPAP3,protein_coding,0.154438982086652,4.48816206371418,0.116206586682567,0.207758605420461
ENSG00000005189,81691,REXO5,protein_coding,0.0964242705558018,7.1885136031059,0.0726987128610242,0.128688976469582
ENSG00000005194,57019,CIAPIN1,protein_coding,0.238422668932959,2.90722012156842,0.177888431727142,0.328025691196254
ENSG00000005206,56928,SPPL2B,protein_coding,0.166208019095965,4.17035943470175,0.116982954878088,0.23836789912214
ENSG00000005238,80256,FAM214B,protein_coding,0.266873363393694,2.59728873554686,0.196551577507567,0.373742923901029
ENSG00000005243,51226,COPZ2,protein_coding,0.100233280337317,6.91533967787228,0.0669038495769063,0.163802459024377
ENSG00000005249,5577,PRKAR2B,protein_coding,0.134217390390231,5.1643619246705,0.100707542914714,0.180807237789705
ENSG00000005302,10943,MSL3,protein_coding,0.22308770796766,3.10706128488454,0.164678852169218,0.311177821163203
ENSG00000005339,1387,CREBBP,protein_coding,0.352124068221159,1.96847430526845,0.255763176265157,0.505403986824403
ENSG00000005379,9256,TSPOAP1,protein_coding,0.0680075709525179,10.1922061154617,0.0508332814149093,0.0913380209702841
ENSG00000005436,6936,GCFC2,protein_coding,0.158782543151121,4.36538656456864,0.118708848627165,0.21523432026999
ENSG00000005448,84058,WDR54,protein_coding,0.0496886814152199,13.9498002526513,0.0371862172498453,0.0665057265812501
ENSG00000005469,54677,CROT,protein_coding,0.302168967231397,2.29390591267813,0.219015428730693,0.429970590487611
ENSG00000005471,5244,ABCB4,protein_coding,0.206484682810626,3.35689394063023,0.151517736556468,0.286710466327239
ENSG00000005483,55904,KMT2E,protein_coding,0.651543158455445,1.06385459131077,0.448196702242889,1.04642232587471
ENSG00000005486,57414,RHBDD2,protein_coding,0.164626760073928,4.21041621816936,0.125021457921389,0.220008693150517
ENSG00000005700,25998,IBTK,protein_coding,0.243355454235814,2.84829112516327,0.181269174999289,0.332918394789913
ENSG00000005801,7748,ZNF195,protein_coding,0.559173879342176,1.23959148695461,0.379741900594955,0.909530299038318
ENSG00000005810,23077,MYCBP2,protein_coding,0.209626729679448,3.30657822893042,0.155865382635368,0.287062445359037
ENSG00000005812,26224,FBXL3,protein_coding,0.611178472980445,1.13411582901436,0.429823819848748,0.934061118687185
ENSG00000005882,5164,PDK2,protein_coding,0.106717375598146,6.49516703980856,0.0811086833502453,0.141658525315459
ENSG00000005884,3675,ITGA3,protein_coding,0.210784298232415,3.28841942389687,0.154546783850877,0.294129970973525
ENSG00000005889,7543,ZFX,protein_coding,0.674211930339958,1.02808501209766,0.459143446620229,1.11713603741157
ENSG00000005893,3920,LAMP2,protein_coding,0.090484108694107,7.6604299977493,0.0688193212043259,0.119729298668675
ENSG00000006007,51573,GDE1,protein_coding,0.118115774532328,5.86837095472148,0.0880584857983648,0.159777620589191
ENSG00000006015,55049,REX1BD,protein_coding,0.138251995936059,5.01365044220064,0.0632905365218713,0.395469076342306
ENSG00000006025,114881,OSBPL7,protein_coding,0.308992768267181,2.24324725930347,0.21550089306784,0.45995094919824
ENSG00000006042,26022,TMEM98,protein_coding,0.155726328414101,4.45105967384497,0.117338964894445,0.209476045329765
ENSG00000006047,51087,YBX2,protein_coding,0.0755006407312847,9.18067944650873,0.056260101090863,0.108854011391321
ENSG00000006062,9020,MAP3K14,protein_coding,0.640485465975101,1.08222156064802,0.43520151887619,1.05555042530729
ENSG00000006071,6833,ABCC8,protein_coding,0.123023942502962,5.63424620002938,0.0873898804553444,0.177606923671772
ENSG00000006118,54972,TMEM132A,protein_coding,0.0753674507613788,9.1969036176442,0.0571294819633294,0.0999725267084962
ENSG00000006125,163,AP2B1,protein_coding,0.10770504376849,6.43560557897225,0.0818090935072273,0.142930714177447
ENSG00000006194,10127,ZNF263,protein_coding,0.505034483980171,1.3724749547739,0.354992724593201,0.77298428092632
ENSG00000006210,6376,CX3CL1,protein_coding,0.453643514712556,1.52795567021199,0.324001673074309,0.674130028753824
ENSG00000006282,64847,SPATA20,protein_coding,0.0372820094141611,18.5920016504438,0.0282399344685892,0.049279418696412
ENSG00000006283,8913,CACNA1G,protein_coding,0.0818030442379315,8.47336657232296,0.0619456151224644,0.108716361547663
ENSG00000006327,51330,TNFRSF12A,protein_coding,0.328211095338789,2.11189441918305,0.239645825697342,0.467456346975992
ENSG00000006432,4293,MAP3K9,protein_coding,0.675732776386438,1.02577114028216,0.467554354650999,1.07802652231087
ENSG00000006451,5898,RALA,protein_coding,0.464957636399293,1.49077491430787,0.320316113569331,0.715337836400043
ENSG00000006453,55971,BAIAP2L1,protein_coding,0.19614928636508,3.53377365477555,0.138658454821513,0.283078879154251
ENSG00000006459,80853,KDM7A,protein_coding,0.810758770884485,0.854936394710559,0.553421450704221,1.33471331850573
ENSG00000006468,2115,ETV1,protein_coding,0.229960674130807,3.01419876759305,0.169631717300022,0.3194014888739
ENSG00000006530,55750,AGK,protein_coding,0.126012575570351,5.5006191042653,0.0953412175661542,0.168054072509237
ENSG00000006576,57157,PHTF2,protein_coding,0.207066807044803,3.34745674814973,0.154533027894088,0.282588531399844
ENSG00000006607,9855,FARP2,protein_coding,0.225231531201713,3.07748731654795,0.167282124289079,0.309958911385273
ENSG00000006611,10083,USH1C,protein_coding,0.0906708452140236,7.64465334941798,0.0667101065383105,0.126222344313142
ENSG00000006625,79017,GGCT,protein_coding,0.109487480005187,6.33083509207724,0.0821844978027937,0.146851722339717
ENSG00000006634,10926,DBF4,protein_coding,0.566768605787088,1.22298090169859,0.402151712699878,0.856755503411846
ENSG00000006652,3475,IFRD1,protein_coding,1.19617169149431,0.579471312930034,0.702403171735169,NA
ENSG00000006695,1352,COX10,protein_coding,0.494160875252443,1.4026751514997,0.333870360275844,0.785220047745685
ENSG00000006704,9569,GTF2IRD1,protein_coding,0.239634778237724,2.89251495820997,0.176836547858618,0.333664054474705
ENSG00000006712,54623,PAF1,protein_coding,0.119213307554102,5.8143440089134,0.0908350424431343,0.158220235152386
ENSG00000006715,27072,VPS41,protein_coding,0.0742066760257592,9.34076578661648,0.0559425404661723,0.0987874911308931
ENSG00000006740,9912,ARHGAP44,protein_coding,0.218519368427617,3.17201713306958,0.161786755464338,0.302090301184755
ENSG00000006744,60528,ELAC2,protein_coding,0.140038478855161,4.9496908722984,0.105644734743626,0.187992548677525
ENSG00000006756,414,ARSD,protein_coding,0.185887594980118,3.72885119436874,0.140203196066405,0.25072753882993
ENSG00000006757,8228,PNPLA4,protein_coding,0.143387952676516,4.83406846685155,0.103834850817831,0.199698233610598
ENSG00000006831,79602,ADIPOR2,protein_coding,0.313498351669262,2.2110074163682,0.231624214007396,0.437767714728814
ENSG00000007047,57787,MARK4,protein_coding,0.141494186841584,4.89876790016814,0.103824772925557,0.195183391299077
ENSG00000007062,8842,PROM1,protein_coding,0.107783978148041,6.43089253588235,0.080255747717082,0.145615433788213
ENSG00000007080,115098,CCDC124,protein_coding,0.0299697278774136,23.1282440533045,0.0229421490206042,0.0392127238402555
ENSG00000007168,5048,PAFAH1B1,protein_coding,0.276570841013142,2.50621930359972,0.204857973943394,0.383425348956006
ENSG00000007202,9703,KIAA0100,protein_coding,0.106007113406319,6.53868554936641,0.0806753741686003,0.140405643148929
ENSG00000007237,8522,GAS7,protein_coding,0.248502335658605,2.78929845356544,0.178789643751957,0.355129828517946
ENSG00000007255,79090,TRAPPC6A,protein_coding,0.0244238670821917,28.3799112657857,0.0184891092015637,0.0435115524120503
ENSG00000007341,54879,ST7L,protein_coding,0.378521693340004,1.83119539185124,0.271690116935993,0.550584432701846
ENSG00000007372,5080,PAX6,protein_coding,0.41801015199174,1.65820657047976,0.298286662142399,0.618915206582958
ENSG00000007376,113000,RPUSD1,protein_coding,0.199309064362377,3.47775041128931,0.148364655435704,0.274245624438628
ENSG00000007384,64285,RHBDF1,protein_coding,0.182145917266943,3.80544999833352,0.134738060693098,0.251477233083483
ENSG00000007392,55692,LUC7L,protein_coding,0.20838111675325,3.32634353515208,0.155012751252098,0.28700304824562
ENSG00000007402,9254,CACNA2D2,protein_coding,0.0452496551454965,15.3182864782326,0.0343304475011873,0.0598317131908899
ENSG00000007516,8938,BAIAP3,protein_coding,0.0683239705389201,10.1450073099177,0.050091938236628,0.0990876653667277
ENSG00000007520,115939,TSR3,protein_coding,0.0814793611722953,8.50702767654528,0.0619866575518413,0.107731012100398
ENSG00000007541,9091,PIGQ,protein_coding,0.0907109490219469,7.6412736062572,0.0690408890220254,0.120023670849375
ENSG00000007545,57585,CRAMP1,protein_coding,0.478866410224666,1.44747504890716,0.336477068229469,0.728479878827741
ENSG00000007866,7005,TEAD3,protein_coding,0.181167069816578,3.82601088189879,0.134461215753457,0.248639729519291
ENSG00000007923,55735,DNAJC11,protein_coding,0.200883928497434,3.45048598832434,0.14742937328415,0.27953200487807
ENSG00000007944,29116,MYLIP,protein_coding,1.11313276229902,0.622699469493962,0.709891987288279,NA
ENSG00000007968,1870,E2F2,protein_coding,0.549289915131894,1.26189678977359,0.390020997736984,0.830844485450992
ENSG00000008018,5689,PSMB1,protein_coding,0.131436100990172,5.27364381123702,0.0996717851409811,0.174943362585449
ENSG00000008056,6853,SYN1,protein_coding,0.148877071095884,4.65583568683671,0.111678790667196,0.201327437396386
